duration_in_seconds,response_id,consent,reason_mistake,mistake_type,mistake_cause,stress,workflow,experience
207,R_n7xXvX6YyUYvLwy,Yes,It was the main reason,Technical/infrastructural problem,Bad skill management,5,No,Group2
237,R_ooXIgqtuJpJLP8r,Yes,Partially,Version control error,Technical issue,3,Yes,Group2
241,R_DJXQMmrmVm0Womy,Yes,Partially,Data input error,Risking human error,1,No,Group2
132,R_cO5xqSBLQBgJnS3,Yes,It was the main reason,Data selection/merging error,Overconfidence,1,Yes,Group1
300,R_5AsPX5vaqPvy53i,Yes,It was the main reason,Group5,Irrelevant,4,Yes,Group1
323,R_Y8Ao8rF43qYOvvZ,Yes,It was the main reason,Data transfer error,Inattention,5,Yes,Group1
322,R_Hha4F3fBrllB8it,Yes,It was the main reason,Insufficient or incorrect documentation,Group3,0,No,Group1
283,R_PJeb9uAdSKPf2Kh,Yes,It was the main reason,Project management error,Project management issue,1,No,Group2
368,R_O1xLsWZE54xLoS5,Yes,It was the main reason,Deviation from the protocol,Inattention,6,No,Group2
211,R_Bo5l7kIiKivg6pe,Yes,Partially,Ambiguous naming/defining of data,Overconfidence,4,Yes,Group2
188,R_HKaXYFXmB2bYPVj,Yes,It was the main reason,Ambiguous naming/defining of data,Lack of control,0,Yes,Group2
293,R_qYPEgjegGISMRyr,Yes,It was the main reason,Data input error,Miscommunication,0,Yes,Group1
300,R_YaJcHzjfedihNwH,Yes,Partially,Sharing confidential data,Bad skill management,1,No,Group2
272,R_RvbjL0kgKWZOpEp,Yes,Partially,Project management error,Physical and/or mental constraints,5,No,Group2
292,R_6ZnmHsRLi9hBLRI,Yes,It was the main reason,Project management error,Risking human error,6,No,Group2
333,R_clNf1BjSRouuuvX,Yes,Partially,Sharing confidential data,Carelessness,5,Yes,Group2
107,R_d3PWfMOF9WnRkdt,Yes,It was the main reason,Ambiguous naming/defining of data,Physical and/or mental constraints,5,Yes,Group2
301,R_L6jjes7Gsythvk6,Yes,It was the main reason,Incorrect connection between data points,Time pressure,3,Yes,Group2
232,R_XLiLkKHHCHGAAHV,Yes,It was the main reason,Insufficient or incorrect documentation,Bad skill management,3,Yes,Group2
331,R_dlEF8r6hXBCqfrc,Yes,It was the main reason,Incorrect reporting,Lack of control,1,Yes,Group2
292,R_ov0TYDwyQoFaRB0,Yes,It was the main reason,Participant allocation error,Project management issue,4,Yes,Group2
342,R_N7xSEnfafjf9bvN,Yes,It was the main reason,Incorrect reporting,Carelessness,5,No,Group2
420,R_oaWv1iSk2g9FGaH,Yes,Partially,Project management error,Technical issue,6,No,Group1
134,R_FpkT8AuGsHtZghG,Yes,It was the main reason,Programming error,Project management issue,4,No,Group1
307,R_mXR4pWwFlSt7kQp,Yes,It was the main reason,Data coding error,Inattention,6,Yes,Group1
251,R_wGxf0h344y6Py1q,Yes,It was the main reason,Data coding error,Time pressure,5,Yes,Group1
348,R_dSqpTzXjrxU7F8V,Yes,It was the main reason,Deviation from the protocol,Physical and/or mental constraints,1,Yes,Group1
216,R_65wgHVVXyQI6Pd2,Yes,Partially,Participant allocation error,Carelessness,3,Yes,Group2
281,R_mzdOUYYP6GwncIV,Yes,It was the main reason,Incorrect reporting,Overconfidence,1,Yes,Group2
297,R_VMOG0skYY7Cnum6,Yes,It was the main reason,Incorrect reporting,Group4,2,No,Group2
313,R_Q2EFA7gmaX9MXVg,Yes,Partially,Data transfer error,Physical and/or mental constraints,3,No,Group1
169,R_AYZvZyTmU18spD4,Yes,Partially,Oversight in study design or measurement,Time pressure,2,Yes,Group1
271,R_3zdwahU5Hfl2dO9,Yes,It was the main reason,Data selection/merging error,Too high complexity,6,Yes,Group1
305,R_m5n4VTPjbs3rLZx,Yes,Partially,Sharing confidential data,Bad or lack of planning,2,Yes,Group1
359,R_R2gwahSMbzJUzy0,Yes,It was the main reason,Project management error,Lack of knowledge/experience,3,Yes,Group1
262,R_VvizHVAp1LGslq8,Yes,Partially,Loss of materials/documentation/data,Technical issue,2,Yes,Group1
377,R_975KfY8JuthciUc,Yes,It was the main reason,Incorrect connection between data points,Too high complexity,4,Yes,Group1
251,R_8eAtgXMfrY3pdII,Yes,Partially,Loss of materials/documentation/data,Inattention,6,No,Group2
267,R_4vOf1995Ua9NmST,Yes,Partially,Data input error,Group3,5,Yes,Group2
281,R_QAko8LzjcYISR9h,Yes,It was the main reason,Incorrect software or hardware settings,Bad or lack of standards,1,No,Group2
236,R_0j1231ESsnGZ1qA,Yes,Partially,Project management error,Lack of control,6,No,Group2
318,R_edecxA8HDXeHbW0,Yes,Partially,Data coding error,Overconfidence,4,Yes,Group2
180,R_ohc6f6lxAsKEcx2,Yes,It was the main reason,Deviation from the protocol,Time pressure,3,Yes,Group2
270,R_I8qQu9uttvNIIft,Yes,It was the main reason,Insufficient or incorrect documentation,Project management issue,0,No,Group2
234,R_ATJFK9muWmavBGY,Yes,It was the main reason,Incorrect reporting,Risking human error,4,No,Group1
233,R_bb8oXICYecU9v5c,Yes,It was the main reason,Sharing confidential data,Lack of control,1,No,Group1
340,R_aDYCdxNWs8uR7Iq,Yes,It was the main reason,Group5,Overconfidence,0,Yes,Group1
377,R_1ESakqogWUyXdz0,Yes,Partially,Participant allocation error,Project management issue,5,Yes,Group1
252,R_vvVCNLxWXEeGueG,Yes,It was the main reason,Data transfer error,Carelessness,3,Yes,Group1
166,R_dI3baQSkVJoGvdO,Yes,Partially,Data or file organization error,Overconfidence,2,No,Group1
244,R_QHEOVmhSQKETgu7,Yes,It was the main reason,Participant allocation error,Time pressure,0,No,Group2
388,R_BRNP9yz0JbobVWQ,Yes,Partially,Data transfer error,Technical issue,0,Yes,Group2
242,R_uMJDUuojNVU8RJj,Yes,It was the main reason,Data coding error,Lack of knowledge/experience,5,Yes,Group2
192,R_pX9EHBmSe2Hbw77,Yes,Partially,Deviation from the protocol,Time pressure,5,Yes,Group2
273,R_dvznz1Zc7mrDzUP,Yes,Partially,Data input error,Carelessness,1,Yes,Group1
354,R_3zBiY9bDTrDniWu,Yes,It was the main reason,Incorrect connection between data points,Technical issue,3,No,Group1
164,R_1GSWTI9TeYhSJMU,Yes,It was the main reason,Deviation from the protocol,Bad or lack of standards,1,Yes,Group1
301,R_jesfKO3iHtqckmy,Yes,It was the main reason,Deviation from the protocol,Inattention,0,No,Group1
402,R_t7wNJaLgNQruinp,Yes,It was the main reason,Technical/infrastructural problem,Time pressure,3,No,Group2
372,R_kUvTjiVOl9dTGBp,Yes,Partially,Data input error,Physical and/or mental constraints,1,Yes,Group1
241,R_AZZU8BXsaLxSWUp,Yes,It was the main reason,Incorrect data processing/analysis,Overconfidence,0,No,Group2
201,R_TsiioQhO4c0gMZQ,Yes,It was the main reason,Programming error,Technical issue,4,Yes,Group2
194,R_3Ro5HFV26zwhtUd,Yes,Partially,Deviation from the protocol,Bad or lack of standards,3,No,Group2
255,R_1LO8nXmpfRvm2y8,Yes,It was the main reason,Group5,Risking human error,2,No,Group2
268,R_8UkYxI7sr109hwd,Yes,Partially,Insufficient or incorrect documentation,Lack of knowledge/experience,0,No,Group2
248,R_oC44nzdZ5Cdyor9,Yes,It was the main reason,Ambiguous naming/defining of data,Miscommunication,4,Yes,Group2
340,R_Uhn6YhKALLR9AkU,Yes,It was the main reason,Oversight in study design or measurement,Carelessness,5,Yes,Group2
283,R_Rzg3jYUqSCezi1U,Yes,It was the main reason,Version control error,Overconfidence,5,No,Group2
263,R_9f1m1kDu319dzYO,Yes,Partially,Oversight in study design or measurement,Technical issue,2,Yes,Group2
230,R_DuD2hLMHOzhKsiy,Yes,Partially,Data selection/merging error,Risking human error,6,Yes,Group2
183,R_mmayHtldnbDya9B,Yes,Partially,Version control error,Group4,2,No,Group1
139,R_WhZL07MjdK0pd4O,Yes,It was the main reason,Oversight in study design or measurement,Bad or lack of standards,1,No,Group1
284,R_8fJllvS2eWDG1Vd,Yes,Partially,Insufficient or incorrect documentation,Bad or lack of standards,6,No,Group1
272,R_RO7y2Pyq5GbO8uv,Yes,Partially,Data or file organization error,Lack of control,4,No,Group1
290,R_uinGkXhbbGEcMrg,Yes,Partially,Incorrect reporting,Bad or lack of standards,2,Yes,Group2
215,R_OxQpsyYl9KuNU5K,Yes,It was the main reason,Participant allocation error,Bad or lack of standards,2,Yes,Group2
289,R_qNWeTPWtGmKlm0u,Yes,Partially,Data or file organization error,Too high complexity,6,Yes,Group2
293,R_pWDbRaFZSP0i7lu,Yes,It was the main reason,Version control error,Lack of control,3,Yes,Group2
215,R_aBh5HoZRjTSJRFJ,Yes,It was the main reason,Group5,Miscommunication,0,No,Group1
268,R_uiFb6zDRrX19WoQ,Yes,It was the main reason,Group5,Bad or lack of standards,2,Yes,Group1
404,R_N2YhpRwLOwMAaOs,Yes,It was the main reason,Insufficient or incorrect documentation,Too high complexity,4,No,Group1
255,R_MaPH80UvxMxE9cj,Yes,Partially,Data or file organization error,Risking human error,3,Yes,Group1
369,R_GvoiKAnmP6Adlrz,Yes,It was the main reason,Data or file organization error,Group4,4,No,Group1
214,R_M9GK87awuYN0w0M,Yes,It was the main reason,Incorrect reporting,Group3,0,No,Group2
266,R_pZcN1i7keWWC1tl,Yes,Partially,Programming error,Risking human error,3,No,Group2
262,R_hM8kTs16HnE2dVz,Yes,It was the main reason,Data transfer error,Time pressure,3,No,Group1
259,R_kkcFymzu95eN6qI,Yes,It was the main reason,Ambiguous naming/defining of data,Lack of control,4,Yes,Group1
351,R_oKDRWx0COhVmxaj,Yes,Partially,Incorrect connection between data points,Physical and/or mental constraints,4,Yes,Group1
316,R_pkRWqS7I9wKYtXp,Yes,It was the main reason,Group5,Bad skill management,6,Yes,Group1
191,R_ppeJBsLUDD2CQXi,Yes,It was the main reason,Insufficient or incorrect documentation,Technical issue,4,Yes,Group1
343,R_wvXRJXKTWqYhuRK,Yes,Partially,Data input error,Miscommunication,2,No,Group1
304,R_vpqGYa8MtqluMwa,Yes,Partially,Loss of materials/documentation/data,Too high complexity,2,No,Group1
261,R_k4JnR2cl1Svd8CK,Yes,It was the main reason,Deviation from the protocol,Bad or lack of planning,1,Yes,Group1
321,R_lNW6L0eFGFhL87y,Yes,It was the main reason,Insufficient or incorrect documentation,Risking human error,6,Yes,Group2
255,R_g00vnFYtu4jMwaY,Yes,It was the main reason,Incorrect connection between data points,Bad or lack of standards,0,Yes,Group2
275,R_9eI4gQh36r9Ua0v,Yes,Partially,Incorrect data processing/analysis,Bad or lack of standards,2,Yes,Group1
160,R_flc3kEz2cmtBQUL,Yes,It was the main reason,Data input error,Risking human error,3,Yes,Group1
389,R_jjRoCDXt5CzK0Zz,Yes,It was the main reason,Ambiguous naming/defining of data,Lack of control,4,Yes,Group1
321,R_ZiaHKbETQzMzbmW,Yes,It was the main reason,Ambiguous naming/defining of data,Risking human error,6,Yes,Group1
142,R_Wt8fAhaFdYTATDL,Yes,It was the main reason,Data or file organization error,Inattention,4,Yes,Group2
269,R_7rKod2S5AdA957e,Yes,Partially,Data selection/merging error,Bad or lack of standards,2,No,Group1
243,R_abT4Y2CTCKX7VqU,Yes,It was the main reason,Data selection/merging error,Overconfidence,1,No,Group2
178,R_TCUcjWftNJ7psA2,Yes,Partially,Loss of materials/documentation/data,Risking human error,1,No,Group2
319,R_bu9IpyfPNIRWduh,Yes,Partially,Incorrect software or hardware settings,Project management issue,1,No,Group2
233,R_04tpn8J1KYYyzjp,Yes,Partially,Data coding error,Carelessness,4,No,Group2
255,R_3EFHEI7iqzzR4dn,Yes,Partially,Loss of materials/documentation/data,Too high complexity,5,Yes,Group2
385,R_b8yr5aLOklBzAvz,Yes,It was the main reason,Incorrect connection between data points,Technical issue,2,Yes,Group2
320,R_yH8f0NwPiG9rAd7,Yes,It was the main reason,Participant allocation error,Group3,1,Yes,Group2
262,R_7jw4426i4Ey1h5U,Yes,Partially,Incorrect reporting,Bad or lack of standards,6,Yes,Group2
343,R_mAA3ZdIzPgYyqPW,Yes,It was the main reason,Incorrect connection between data points,Lack of knowledge/experience,5,No,Group2
334,R_DMF1175DFolcOCS,Yes,It was the main reason,Data input error,Physical and/or mental constraints,0,Yes,Group2
364,R_3MQC2RFSNrtioba,Yes,It was the main reason,Data transfer error,Too high complexity,2,Yes,Group1
160,R_HP4Jhj55DMStvCu,Yes,It was the main reason,Insufficient or incorrect documentation,Time pressure,2,No,Group1
194,R_3JVwczxPBaIWtsO,Yes,It was the main reason,Incorrect data processing/analysis,Miscommunication,0,No,Group1
310,R_2cJgNttoiTA6NTw,Yes,Partially,Participant allocation error,Bad skill management,2,Yes,Group1
206,R_lItakx3dYY78Jg8,Yes,It was the main reason,Participant allocation error,Carelessness,2,Yes,Group2
224,R_txZQPyF2QDqmYIu,Yes,It was the main reason,Deviation from the protocol,Group3,0,Yes,Group2
240,R_yoFK0GSbLfR7CBF,Yes,It was the main reason,Data input error,Inattention,5,No,Group2
247,R_WD1LO7prBBItt4L,Yes,It was the main reason,Ambiguous naming/defining of data,Bad skill management,5,Yes,Group2
317,R_nEG6YkmMBcaNTV8,Yes,It was the main reason,Oversight in study design or measurement,Bad or lack of standards,4,Yes,Group1
230,R_ii604wKsFQrKUd3,Yes,It was the main reason,Deviation from the protocol,Physical and/or mental constraints,3,Yes,Group1
276,R_J4QNaySPxCMRBC7,Yes,Partially,Incorrect reporting,Carelessness,0,Yes,Group1
319,R_mHFA7pLbHSWVjBZ,Yes,Partially,Incorrect software or hardware settings,Miscommunication,5,Yes,Group1
167,R_zknDmBZOYXkJfMm,Yes,It was the main reason,Data input error,Bad skill management,5,No,Group1
224,R_kKltl4dxsSjaNTt,Yes,Partially,Project management error,Carelessness,1,Yes,Irrelevant
328,R_CLJbvRy59cd3IsX,Yes,Partially,Data transfer error,Risking human error,2,No,Group2
245,R_gdcIQcFxt8VLxcc,Yes,It was the main reason,Incorrect data processing/analysis,Physical and/or mental constraints,0,No,Group2
100,R_eyWZdAQuZuTHoWl,Yes,Partially,Participant allocation error,Technical issue,0,Yes,Group2
213,R_AUQu2Zqipa4GQlX,Yes,Partially,Sharing confidential data,Bad or lack of planning,4,Yes,Group1
325,R_1IASjStb49sL5GH,Yes,It was the main reason,Sharing confidential data,Bad or lack of standards,4,No,Group1
241,R_M5EQaW7edKjU2cv,Yes,It was the main reason,Participant allocation error,Time pressure,5,Yes,Group1
243,R_ApEvua0zpnrauUL,Yes,It was the main reason,Project management error,Carelessness,6,No,Group1
260,R_8niaWGwijdDLBKs,Yes,It was the main reason,Insufficient or incorrect documentation,Carelessness,3,Yes,Group2
318,R_OfgJTG52cfMdmw7,Yes,It was the main reason,Incorrect software or hardware settings,Bad or lack of planning,3,Yes,Group1
237,R_x17JOGBkY1u8RRe,Yes,It was the main reason,Data transfer error,Too high complexity,6,Yes,Group1
308,R_AHtrikcFVoXLkKe,Yes,It was the main reason,Oversight in study design or measurement,Too high complexity,4,No,Group2
202,R_Z6YWSoOXebqMLwv,Yes,Partially,Oversight in study design or measurement,Bad or lack of standards,2,No,Group2
266,R_2CFyvnBMo1yLCMb,Yes,It was the main reason,Data transfer error,Bad skill management,1,No,Group2
