start_date,end_date,duration_in_seconds,recorded_date,response_id,consent,reason_mistake,mistake_type,mistake_cause,stress,workflow,experience,comment,comment_modified,experience_modified
2023-06-14 11:12:07,2023-06-14 11:27:27,920,2023-06-14 11:27:29,R_3PHWZMgHssVJ0ea,Yes,It was the main reason,Data coding error,Inattention,0,No,The Devil is in the details. Nobody is perfect. Error will always occur. What you do after an error is identified is crucial. Those never having done an error may never have done anything.,"Good initiative. I have alone been responsible for the output of the [deleted identifiable information] database [deleted identifiable information], including > 50,000 characters of Oracle SQL code. Debugging and quality validation takes > 90% of  working hours. Despite advanced multi step systems to catch errors, sooner or later an error will pass through. I made a complete Oracle filing system for my medical records in cancer genetics > 20 years ago which still lives on, but read in the papers on all governmental efforts failing because they are basically not well enough designed. 
My mail is [deleted identifiable information].
Good luck!
[deleted identifiable information]",modified,not modified
2023-06-14 11:23:15,2023-06-14 11:29:22,366,2023-06-14 11:29:24,R_10pU8SFY4IsN228,Yes,It was the main reason,Data coding error,Too high complexity,6,Yes,"Retraction give me a lot of chance of exploration and improve my skills about research. But, in field of research, other fellows considered you as a criminals. So, Journals should make a excellent peer review platform. So that all the technical mistakes can be removed at that time. Not after the publishing.",NA,not modified,not modified
2023-06-14 11:29:04,2023-06-14 11:30:58,114,2023-06-14 11:31:00,R_WCMWttRGLH5IN5T,Yes,It was the main reason,Ambiguous naming/defining of data,Bad or lack of planning,6,Yes,NA,NA,not modified,not modified
2023-06-14 11:29:09,2023-06-14 11:33:17,247,2023-06-14 11:33:18,R_bdfqsLqzq0xSUhz,Yes,It was the main reason,Incorrect data processing/analysis,Technical issue,4,Yes,It turned out that the results were fitting much better to other published results after we corrected the error. Everybody at the journal was very helpful when I contacted them about the problem.,"If your research data is not fitting to other publish data, check the whole calculation process again.",not modified,not modified
2023-06-14 11:11:21,2023-06-14 11:35:18,1437,2023-06-14 11:35:20,R_TiTvYbqfdfAB5Lj,Yes,Partially,Project management error,Project management issue,6,Yes,"In developing countries, it is difficult to save the raw data in best conditions for long time. The raw scans also can not be saved for long years due to shared computers. The policy in institute/country is to retain data for 5 years but Journals which withdrew our papers asked for data which was 8-20 years old. The old lab itself did not exist. There were no SSD hard drives or google drives in that era. So I felt that journal should have issued a correction and given oprion to upload new scans of old autorads instead of retraction. Moreover why only Scientist is held responsible, The Journal also should have checked the data prior to publishing as they take publication charges",I learnt the lesson in a hard way. Scientifically sound data has no value until you have saved back up until you retire. Prefer to publish in journals which check raw data prior to publishing as Journal is equally responsible,not modified,not modified
2023-06-14 11:26:31,2023-06-14 11:57:06,1834,2023-06-14 11:57:07,R_3oHqfVjUBTssSki,Yes,It was the main reason,Programming error,Risking human error,6,Yes,"We realized an error while extracting timeseries from the same dataset for a different experiment. The research group unanimously agreed to retract the study, including the Ph.D. student whose thesis relied on that paper. However, I felt upset when discussing the decision to retract the already published study with other colleagues. I heard comments such as, ""It's a waste of time,"" ""Your prestige will be affected,"" and the most interesting one, ""Don't do it. Manuscripts follow the evolution theory, and if your results are wrong, they won't be replicated. Consequently, no one will pay attention to them anymore. On the other hand, the retraction was quite fast and easily processed by the journal team.","Publishing pressure and the wide range of journal options available are impeding scientific progress. It has become challenging to produce replicable and valuable effects given the current context where empiricism lacks realism, and realism lacks consistency and congruency. Researchers may often define phenomena based solely on their own instrumental interpretations without grounding their discoveries in previous stable effects, leading to frequent rediscovery of wheels and aliens. The limitations of human time, resources, and cognitive processing further complicate matters in the vast sea of publications.

Nevertheless, I believe that new AI implementations in scientific databases and meta-analysis approaches, such as neurosyth, will be employed to test the consistency of our results using both numerical and qualitative criteria. These advancements could help address the aforementioned challenges. Please feel free to reach out to me at [deleted identifiable information], though please note that my response may take some time.",modified,not modified
2023-06-14 11:52:46,2023-06-14 11:58:04,317,2023-06-14 11:58:05,R_2RQUgkDwBRZDVql,Yes,It was the main reason,Loss of materials/documentation/data,Inattention,5,Yes,"The data loss was not due to a single event but a combination of unforeseen and unexpected circumstances in an era before cloud management was common. Among the events surrounding this, the student's laptop ""died"", his father overwrote the backup disk with photos, and there was no central storage of the data.","Organize centralized back ups, use the cloud....",not modified,not modified
2023-06-14 11:39:12,2023-06-14 12:00:44,1291,2023-06-14 12:00:46,R_1Fh0qjqjGlVF8A6,Yes,It was the main reason,NA,Time pressure,5,Yes,NA,"I definitely have become a strong advocate of research reproducibility (and open science more genarally) as a result of the experience, and I have become much more systematic and careful in my research. I have also experienced that this may sometimes hinder collaboration with colleagues, because it definitely slows down progress.",not modified,not modified
2023-06-14 11:38:36,2023-06-14 12:53:36,4499,2023-06-14 12:53:38,R_UxZ6eecYxOB1tfz,Yes,Partially,Ambiguous naming/defining of data,Carelessness,6,Yes,All data and manuscript must be carefully processed.,no thanks,not modified,not modified
2023-06-14 12:43:41,2023-06-14 12:57:31,829,2023-06-14 12:57:32,R_1EiW8ukHqjEcNNA,Yes,It was the main reason,Incorrect data processing/analysis,Inattention,4,No,We miscalculated one datapoint out of 24 geochronological ages that were produced in that paper. This was just a inattention error. The corrected paper was published soon after. The journal editor have been very efficient in helping correct this mistake. Not a very interesting case.,NA,not modified,not modified
2023-06-14 13:08:15,2023-06-14 13:12:14,239,2023-06-14 13:12:15,R_3NFghvl45d5SYEy,Yes,It was the main reason,NA,Miscommunication,5,Yes,NA,NA,not modified,not modified
2023-06-14 13:11:57,2023-06-14 13:13:27,90,2023-06-14 13:13:29,R_9zNUq8tosSGueCB,Yes,Partially,Data coding error,Project management issue,3,Yes,NA,NA,not modified,not modified
2023-06-14 13:25:04,2023-06-14 13:28:21,196,2023-06-14 13:28:23,R_9uWLxrij16ck0ql,Yes,It was the main reason,Data coding error,Carelessness,6,Yes,I have not collaborated with that lab again....,NA,not modified,not modified
2023-06-14 13:30:36,2023-06-14 13:34:23,226,2023-06-14 13:34:24,R_SIALXVGTo2ec3zX,Yes,It was the main reason,Ambiguous naming/defining of data,Overconfidence,6,Yes,NA,NA,not modified,not modified
2023-06-14 13:44:05,2023-06-14 13:56:08,722,2023-06-14 13:56:09,R_2w6pvPXWRQYadYC,Yes,Partially,Data transfer error,Too high complexity,5,Yes,NA,NA,not modified,not modified
2023-06-14 14:05:17,2023-06-14 14:08:52,214,2023-06-14 14:08:53,R_1eCwb7aTGSH0mpD,Yes,It was the main reason,NA,Carelessness,2,No,NA,NA,not modified,not modified
2023-06-14 14:25:54,2023-06-14 14:35:35,581,2023-06-14 14:35:37,R_1Nzt4vYd5tPjRBJ,Yes,Partially,Deviation from the protocol,Miscommunication,1,Yes,NA,NA,not modified,not modified
2023-06-14 14:54:34,2023-06-14 14:57:35,181,2023-06-14 14:57:36,R_1rlDqLI8VAiztsm,Yes,Partially,Incorrect data processing/analysis,Bad or lack of planning,6,Yes,NA,NA,not modified,not modified
2023-06-14 15:47:02,2023-06-14 15:54:29,446,2023-06-14 15:54:30,R_1LpplLTjjptF6b3,Yes,It was the main reason,Data or file organization error,Inattention,5,Yes,"The primary author took photo-microscopy pictures. This involved multiple photos of the same tissue culture well, taken from different angles. Later I learned that he kept poor records of those photos so some photos in our final figure turned out to be repetitions of the same well. This was very hard to spot.",The person responsible for poor record keeping is no longer in the lab and we have tightened our photo-microscopy protocols considerably. Hopefully this will prevent recurrence.,not modified,not modified
2023-06-14 16:04:01,2023-06-14 16:07:04,183,2023-06-14 16:07:06,R_1mrSZAAmbpabcqy,Yes,Partially,Data input error,Technical issue,1,Yes,NA,NA,not modified,not modified
2023-06-14 16:09:50,2023-06-14 16:14:24,273,2023-06-14 16:14:25,R_08TVDLjpJQk4Ylr,Yes,It was the main reason,Deviation from the protocol,Carelessness,6,Yes,NA,We now deposit all plasmids in addgene where they are sequenced immediately prior to publication,not modified,not modified
2023-06-14 16:55:24,2023-06-14 16:59:35,250,2023-06-14 16:59:36,R_2SHAdkpoJ7aSiou,Yes,Partially,Loss of materials/documentation/data,Bad skill management,6,Yes,No,No,not modified,not modified
2023-06-14 17:33:55,2023-06-14 17:48:19,864,2023-06-14 17:48:20,R_6hDvcL8qOeT38hH,Yes,It was the main reason,Incorrect connection between data points,Bad skill management,6,Yes,"It was hard to pick just one main cause. Realistically there were failures across multiple of these areas. We were linking subject IDs manually across time instead of using some more automated process, the task was given to an RA or lab manager who clearly wasn't instructed properly on the task and their work was not double-checked by others (and it is unclear if their error resulted from misunderstanding or carelessness), and then the analysis was put on hold for about a year due to medical leave, and upon return files marked as 'final' were treated as final without proper vetting.",NA,not modified,not modified
2023-06-14 22:42:58,2023-06-14 22:49:01,362,2023-06-14 22:49:02,R_3m3ICIH2jAxUjg4,Yes,It was the main reason,Data transfer error,Technical issue,6,Yes,"It was a horrible experience! Although we could clarify and correct the mistakes (we had wrongly displayed a western blot control band), the journal did not allow us a correction but retracted. Such doing of journals is unnecessary. It put authors into horrible stress and psycho crises, loss of reputation. Unreasonably.",All raw data are strictly kept in a single project folder. All raw data are presented at lab meeting. These files are kept in the paper submission folder. This has much improved data storage.,not modified,not modified
2023-06-15 00:25:52,2023-06-15 00:48:21,1349,2023-06-15 00:48:23,R_2z8yfowrMlMPDrE,Yes,It was the main reason,NA,NA,5,No,"This was a case where a bioethics journal was quite at sea trying to grapple with statistics (though those recommended by APA) and finally backed away from the paper, though retrospectively, a year after publication",In spite of the retraction the paper has attracted some Researchgate approval with no contrary views expressed,not modified,not modified
2023-06-15 03:28:00,2023-06-15 03:45:44,1063,2023-06-15 03:45:45,R_3QXJzKObbOR7qIb,Yes,Partially,Programming error,Miscommunication,5,Yes,"It was a very unfortunate outcome that involved problems at our lab, which we tried to communicate as quickly as possible during the proofing stage, but the editors were unwilling to consider including an explanation of the error and the implications for our findings as well as the larger research environment. It was a highly frustrating experience and our best option was to retract it. I consider it a lost opportunity to help the research community understand some problems with the data and analysis protocol - the paper continues being cited with the mistakes in it and a better option would have been to explain the errors in the actual paper, show which results are robust and help researchers avoid them in the future.","Closer hands-on management of all team members throughout the research process (if more experienced researchers); if time & resources allow: documentation of all steps (including seemingly minor steps that may be taken for granted), careful reading and documenting of all analysis options (a major problem was that the same processing term involved different routines on different analysis platforms and this was not noticed till the paper was in the proofing stage)",not modified,not modified
2023-06-15 05:28:15,2023-06-15 05:30:32,136,2023-06-15 05:30:33,R_25ZzWOdMk8VEcqB,Yes,Partially,Data input error,Risking human error,3,No,NA,NA,not modified,not modified
2023-06-15 06:42:47,2023-06-15 06:44:58,131,2023-06-15 06:44:59,R_3KZRcI78ifggv82,Yes,Partially,Incorrect reporting,Carelessness,6,No,NA,NA,not modified,not modified
2023-06-15 07:32:42,2023-06-15 07:34:49,127,2023-06-15 07:34:51,R_1pLkeDkbniyTDrx,Yes,It was the main reason,Incorrect data processing/analysis,Technical issue,3,No,NA,NA,not modified,not modified
2023-06-15 18:08:28,2023-06-15 18:27:51,1162,2023-06-15 18:27:52,R_2qxzvW2FVJwLmaq,Yes,It was the main reason,Project management error,Miscommunication,5,Yes,My retraction was due to one of my collaborators using data that they did not have explicit permission to publish. I now communicate directly with data suppliers and don't trust collaborators to use data that I haven't vetted.,NA,not modified,not modified
2023-06-14 11:40:27,2023-06-16 06:08:38,152891,2023-06-16 06:08:39,R_22XQ9EOMJfdGk7U,Yes,It was the main reason,Loss of materials/documentation/data,Technical issue,6,Yes,NA,NA,not modified,not modified
2023-06-16 08:22:40,2023-06-16 08:28:57,377,2023-06-16 08:28:59,R_23fSUpXo74aKEVQ,Yes,Partially,Incorrect data processing/analysis,Lack of control,0,Yes,NA,NA,not modified,not modified
2023-06-16 12:49:26,2023-06-16 12:59:59,632,2023-06-16 13:00:01,R_2ExW1Xs8Z1rTT51,Yes,Partially,Oversight in study design or measurement,Bad or lack of standards,5,Yes,I felt that the editor is biased against Asian authors.,We should be careful in describing protocols used in the study.,not modified,not modified
2023-06-15 15:48:43,2023-06-16 13:25:01,77778,2023-06-16 13:25:03,R_1K7SMT7IR2f7NaX,Yes,Partially,Incorrect reporting,Technical issue,4,Yes,NA,See [deleted identifiable information],modified,not modified
2023-06-19 04:27:09,2023-06-19 04:57:17,1808,2023-06-19 04:57:19,R_xlbLPNeY6iSolCp,Yes,Partially,Incorrect reporting,Bad or lack of standards,3,No,NA,NA,not modified,not modified
2023-06-19 09:25:01,2023-06-19 09:33:42,520,2023-06-19 09:33:43,R_2ZNQWBjq5181WP7,Yes,It was the main reason,Incorrect data processing/analysis,Technical issue,6,Yes,NA,NA,not modified,not modified
2023-06-19 23:10:48,2023-06-19 23:15:42,294,2023-06-19 23:15:43,R_3htNpX7XxVLwLTO,Yes,It was the main reason,Data coding error,Inattention,5,Yes,"The mistake I made was in a secondary data analysis and the codebook had the variable names flipped. For example - the ordering went V1 V2 V3 etc., but at some point had two numbers out of order: V34 V36 V35. I missed this in my coding, causing me to flip my two dependent variables when I recoded them. I am meticulous in my analyses, but I realized how easy it was to make a coding mistake. I'm POSITIVE that this happens WAY more than we know about.",NA,not modified,not modified
2023-06-20 13:46:40,2023-06-20 13:48:49,129,2023-06-20 13:48:50,R_1j7Wa45Zz8YJkEU,Yes,It was the main reason,Ambiguous naming/defining of data,Inattention,6,Yes,NA,NA,not modified,not modified
2023-06-20 13:50:48,2023-06-20 13:53:52,184,2023-06-20 13:53:54,R_2c28e6qVtdiPvRV,Yes,Partially,Loss of materials/documentation/data,Lack of knowledge/experience,6,Yes,NA,NA,not modified,not modified
2023-06-20 13:55:52,2023-06-20 13:58:24,152,2023-06-20 13:58:26,R_2UXhMmZbEMM0W6t,Yes,It was the main reason,Data transfer error,Miscommunication,5,Yes,NA,NA,not modified,not modified
2023-06-20 13:59:23,2023-06-20 14:01:23,119,2023-06-20 14:01:28,R_1q8sFVF8IBSjnXY,Yes,Partially,Data selection/merging error,Inattention,6,Yes,NA,NA,not modified,not modified
2023-06-20 13:53:21,2023-06-20 14:01:55,513,2023-06-20 14:01:57,R_2SviRtbc6b2SzTE,Yes,Partially,NA,Carelessness,2,No,"Retraction can be avoided if
1. Corresponding author takes an active role in reviewing and finalizing the article.
2. If the journal editorial office checks the plagiarism before sending the article for the review process.",NA,not modified,not modified
2023-06-15 14:25:03,2023-06-20 14:03:27,430704,2023-06-20 14:03:30,R_RLwGn55sRGrCs2l,Yes,Partially,NA,Lack of knowledge/experience,4,Yes,NA,NA,not modified,not modified
2023-06-20 14:13:44,2023-06-20 14:17:04,199,2023-06-20 14:17:05,R_XiyerEbsrCUj0DD,Yes,It was the main reason,Ambiguous naming/defining of data,Miscommunication,2,Yes,We learned we need to QC all collected data and confirm identity of data sets by independent means.,NA,not modified,not modified
2023-06-20 14:31:06,2023-06-20 14:33:24,137,2023-06-20 14:33:27,R_3PGdRfqPlth8Ngj,Yes,Partially,Incorrect data processing/analysis,Lack of knowledge/experience,4,Yes,NA,NA,not modified,not modified
2023-06-20 15:05:56,2023-06-20 15:13:33,457,2023-06-20 15:13:35,R_yVlvb1wTcfi1INX,Yes,Partially,NA,Too high complexity,6,Yes,"This work I did in Japan and the raw data were left there and I had never imagined I must take them years after publication and of course the team there had changed and no one can help me to get the raw data and the editors thought I do not have, however now I came back to my country in the middle East.",NA,not modified,not modified
2023-06-20 15:51:22,2023-06-20 15:52:39,76,2023-06-20 15:52:40,R_2En4zdLLWoHNIbB,Yes,Partially,Insufficient or incorrect documentation,Carelessness,2,No,NA,NA,not modified,not modified
2023-06-15 08:45:55,2023-06-20 16:33:04,460029,2023-06-20 16:33:07,R_6nzx8bztrlcpleN,Yes,It was the main reason,Loss of materials/documentation/data,Lack of knowledge/experience,6,Yes,NA,NA,not modified,not modified
2023-06-20 16:53:30,2023-06-20 16:59:59,389,2023-06-20 17:00:01,R_2afwNGHuq5aif6U,Yes,Partially,Loss of materials/documentation/data,Miscommunication,4,Yes,NA,NA,not modified,not modified
2023-06-20 16:06:36,2023-06-20 18:45:00,9504,2023-06-20 18:45:02,R_2wQTnz90MrJawp9,Yes,Partially,Data coding error,Bad or lack of standards,6,Yes,Pay attention to rounding errors and protocol registration on http://clinicaltrials.gov/,NA,not modified,not modified
2023-06-20 20:07:07,2023-06-20 20:17:18,611,2023-06-20 20:17:20,R_32XhCLzKPzEKsLa,Yes,It was the main reason,Data input error,Technical issue,6,Yes,"I feel that the reviewers did not offer ANY opportunities to correct the errors, nor did they take into consideration the fact that I contacted them to correct something I ALONE noticed as an error. As a new scholar at the time, I did not imagine that the response would be to retract the paper, and the retraction shows up as the only retraction in my bibliography database of 20,000 or more references. So there is also EXTREME shame, stigma, and embarrassment  associated with the fallout. It has forever changed my career trajectory.","What I have learned, sadly, and what I teach my students now is to remain staunchly defensive of anything you are lucky enough to get published. Never cast doubt on any of your conclusions, and never admit fault or mistake. Way to go!",not modified,not modified
2023-06-20 18:56:57,2023-06-20 20:48:26,6689,2023-06-20 20:48:27,R_3qCYbsNQSxFbGTc,Yes,It was the main reason,Loss of materials/documentation/data,Miscommunication,5,Yes,NA,NA,not modified,not modified
2023-06-21 01:27:57,2023-06-21 01:42:04,847,2023-06-21 01:42:05,R_1IQaowue8ga70a4,Yes,It was the main reason,NA,Lack of knowledge/experience,6,No,NA,NA,not modified,not modified
2023-06-21 04:14:38,2023-06-21 04:18:43,244,2023-06-21 04:18:44,R_yrLUxgybPGW7uUh,Yes,Partially,Incorrect data processing/analysis,Bad skill management,6,Yes,NA,NA,not modified,not modified
2023-06-21 04:12:01,2023-06-21 04:37:07,1505,2023-06-21 04:37:08,R_YVSbb806jSa9RGF,Yes,It was the main reason,Data coding error,Carelessness,5,Yes,Meta-analysis contains lots of detailed coding which is quite easier to get mistakes,The lessons I learnt was that to double double double check every detail of the coding and to have a good documentation management to make everything clear to stop and continue and easier for others to double check.,not modified,not modified
2023-06-14 11:18:08,2023-06-21 08:45:08,595619,2023-06-21 08:45:09,R_3kHv4v3suKUQSvN,Yes,It was the main reason,Technical/infrastructural problem,Lack of control,5,Yes,NA,A better management and planning with experts before starting the work would help in avoiding errors.,not modified,not modified
2023-06-21 12:14:31,2023-06-21 12:19:54,323,2023-06-21 12:19:56,R_1HhHOLoXqCv8Jde,Yes,Partially,Incorrect reporting,Miscommunication,4,Yes,"I feel that there is not a universally accepted protocol in journals, other papers with the same mistakes as ours were ammended or corrected, but not retracted. We collaborated with the jorunal even generating new data to reproduce the conflicting data but after an extremely long period with no input from the journal our paper was retracted.",Check the data over and over,not modified,not modified
2023-06-26 13:01:20,2023-06-26 13:03:22,122,2023-06-26 13:03:23,R_9YPOOtnIioYw8Sd,Yes,It was the main reason,Incorrect data processing/analysis,Risking human error,0,No,The paper was re-published with the correct statistics. Actually the Results became statistically significant.,NA,not modified,not modified
2023-06-26 14:02:56,2023-06-26 14:13:01,604,2023-06-26 14:13:03,R_6kRe9sQZfXpYK0V,Yes,Partially,Ambiguous naming/defining of data,Lack of knowledge/experience,6,Yes,"The biophysical collaborator mis-read the data labeling causing an error in analysis
(even though it was a data analysis which supports our main finding through an in silico analysis). Henceforth, I stopped doing collaboration study which (subject) I don't know.",Don't rely on the data which you don't understand,not modified,not modified
2023-06-26 14:28:37,2023-06-26 14:36:53,496,2023-06-26 14:36:55,R_1kRiOLexXZC8jRU,Yes,It was the main reason,Loss of materials/documentation/data,Miscommunication,6,Yes,This process was very painful and had not much opportunity to defend our work,NA,not modified,not modified
2023-06-26 12:27:46,2023-06-26 14:39:17,7891,2023-06-26 14:39:18,R_3lYaym1yHn5bRte,Yes,It was the main reason,Data input error,Risking human error,6,Yes,"This was the hardest issue in my academic life ,
Made me very stressful and guilty feeling of simple errors that changed the outcome of two out of 5  important parameters","The lessons are :
1. Don't involve an author who is short of adequate knowledge of publication process, the statistics and commitment to review and criticize the work ,
2. Consult professional statistician to check the tests and data use",not modified,not modified
2023-06-26 18:50:38,2023-06-26 18:53:40,182,2023-06-26 18:53:41,R_2XioncbqnJ4qRMT,Yes,Partially,Data input error,Overconfidence,5,Yes,NA,NA,not modified,not modified
2023-06-26 19:04:58,2023-06-26 22:49:41,13483,2023-06-26 22:49:42,R_29fRyBMA4xSMlDW,Yes,Partially,Insufficient or incorrect documentation,Project management issue,6,Yes,we have reproduced much of the work and carried that forward to a most interesting paper - on another topic though - t,sure  - happy to discuss,not modified,not modified
