start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,consent,reason_mistake,mistake_type,mistake_type_21_text,mistake_cause,mistake_cause_16_text,stress,workflow,experience,comment,comment_modified,experience_modified
2023-05-13 22:49:39,2023-05-13 22:50:36,IP Address,100,57,True,2023-05-13 22:50:37,R_7QybL0nKLy49trb,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:25:10,2023-05-16 15:25:21,IP Address,100,10,True,2023-05-16 15:25:21,R_2RZWAih6NGt0kRc,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:25:27,2023-05-16 15:25:55,IP Address,100,28,True,2023-05-16 15:25:56,R_3NI1T3SCcvcosee,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:27:15,2023-05-16 15:28:05,IP Address,100,49,True,2023-05-16 15:28:06,R_2bNLKJ5Wp3sqs6k,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:31:03,2023-05-16 15:31:35,IP Address,100,31,True,2023-05-16 15:31:36,R_eb4wXZp9sacEFl7,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:33:36,2023-05-16 15:36:46,IP Address,100,190,True,2023-05-16 15:36:47,R_2WSGAhLTWOJCFbP,email,EN,Yes,partially,"Incorrect reporting (e.g. misreporting values, plotting mistake, presenting inaccurate data, publishing with errors, reporting wrong data)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,5,Yes,NA,NA,not modified,not modified
2023-05-16 15:30:57,2023-05-16 15:43:21,IP Address,100,743,True,2023-05-16 15:43:22,R_12Sft9OzZDKdqxH,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:24:13,2023-05-16 15:43:33,IP Address,100,1160,True,2023-05-16 15:43:34,R_1OTvGEN9NhvNKhI,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:51:50,2023-05-16 15:53:33,IP Address,100,103,True,2023-05-16 15:53:34,R_3kGmT03eDxS8il5,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:54:09,2023-05-16 15:54:57,IP Address,100,48,True,2023-05-16 15:54:58,R_27DxOuTpm71Td82,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 16:00:18,2023-05-16 16:00:38,Spam,100,19,True,2023-05-16 16:00:39,R_3kGuWDFnAPkrLwD,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 16:01:01,2023-05-16 16:01:29,IP Address,100,28,True,2023-05-16 16:01:30,R_2dGuYasK2gNvaoD,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 15:55:23,2023-05-16 16:01:48,IP Address,100,384,True,2023-05-16 16:01:49,R_SIVgiX0F1XdqaFb,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Bad skill management (e.g. improper training, inadequate training, insufficient training, insufficient training of coders, lack of training)",NA,4,Yes,"Although I failed to properly mentor of the scientist who made mistakes in the interpretation of the data, I felt that the persons inquiring about the problem were blaming me more than the person responsible for the retraction.",Always request to see the raw data from an experiment,not modified,not modified
2023-05-16 16:16:45,2023-05-16 16:17:10,IP Address,100,24,True,2023-05-16 16:17:11,R_1oteFbtpCqdeQPr,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 16:25:17,2023-05-16 16:26:57,IP Address,100,100,True,2023-05-16 16:26:58,R_3MbeylNmyVNhCdy,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 16:09:09,2023-05-16 16:27:09,IP Address,100,1080,True,2023-05-16 16:27:10,R_2vfgZUecZClJr84,email,EN,Yes,it was the main reason,"Other, please specify:",Failure to examine the controls closely enough.,"Overconfidence (e.g. being too ambitious, being too confident, failure to anticipate the difficulty of interpreting datafiles, overreliance, too high expectations)",NA,4,Yes,I was close to retirement so it didn’t affect me much but I felt bad for the students on the paper.,Mistakes happen. It is important to retract the paper as soon as the error is detected and all the authors have been made aware. It is very hard on all concerned.,not modified,not modified
2023-05-16 17:30:31,2023-05-16 17:31:08,IP Address,100,37,True,2023-05-16 17:31:09,R_1dtqSYIBbNEeztT,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 18:58:48,2023-05-16 19:00:40,IP Address,100,111,True,2023-05-16 19:00:41,R_3DiP6nqgtTBahJJ,email,EN,Yes,it was the main reason,"Data coding error (e.g. incorrect coding of variables, misclassification of values, mistake in coding variables, mistake in recording variables, value coding error)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,4,Yes,NA,NA,not modified,not modified
2023-05-16 19:39:02,2023-05-16 19:46:25,IP Address,100,442,True,2023-05-16 19:46:26,R_1EWBc3laLCBAaD6,email,EN,Yes,it was the main reason,"Other, please specify:",Errors in copy and paste and labelling of the data points,"Other, please specify:",Inattention and overconfidence which involves ambitious nature both play role,"extreme stress
6",Yes,"We check accuracy in recording and presentation to the highest standards. Involve the team well and train them for data collection, analysis, and interpretation.",NA,not modified,not modified
2023-05-16 19:51:17,2023-05-16 19:52:12,IP Address,100,54,True,2023-05-16 19:52:13,R_1LoGKZ4oJPYqcjd,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 20:30:45,2023-05-16 20:34:04,IP Address,100,199,True,2023-05-16 20:34:05,R_2asEqmQ3GsEr10M,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Inattention (e.g. accident, accidental mistakes, being distracted, copy and paste error, lapse of concentration)",NA,5,Yes,"'- Much more checking, and double checking, of codes and against published examples in the literature .",NA,not modified,not modified
2023-05-16 20:33:25,2023-05-16 20:35:16,IP Address,100,111,True,2023-05-16 20:35:17,R_1eUVgDrLFSgGPHQ,email,EN,Yes,it was the main reason,"Data coding error (e.g. incorrect coding of variables, misclassification of values, mistake in coding variables, mistake in recording variables, value coding error)",NA,"Inattention (e.g. accident, accidental mistakes, being distracted, copy and paste error, lapse of concentration)",NA,"extreme stress
6",Yes,NA,NA,not modified,not modified
2023-05-16 20:34:00,2023-05-16 20:39:04,IP Address,100,303,True,2023-05-16 20:39:05,R_1C7aC74jU3V5Te8,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Lack of knowledge/experience (e.g. being unaware of the potentials of the negative outcomes, inexperience, insufficient experience, insufficient skills, lack of experience, lack of routine)",NA,3,Yes,"It was an honest mistake, an oversight. I'm glad we caught it as it was a coding error that would, and did, infect several experiments, and even experiments for other labs if they used the code. Retraction was an easy process that was well-handled by the journal.",thanks for doing this important work.,not modified,not modified
2023-05-16 21:44:39,2023-05-16 21:53:41,IP Address,100,542,True,2023-05-16 21:53:42,R_2zBgrtuSskykeYx,email,EN,Yes,partially,"Data coding error (e.g. incorrect coding of variables, misclassification of values, mistake in coding variables, mistake in recording variables, value coding error)",NA,"Project management issue (e.g. disorganization, error in team management, lack of clear job responsibilities, lack of coordination, lack of supervision)",NA,"extreme stress
6",Yes,Need to review all the data regardless of the experience of the collaborators,NA,not modified,not modified
2023-05-16 21:45:56,2023-05-16 22:04:14,IP Address,100,1098,True,2023-05-16 22:04:17,R_RxHYvyvSbB2Z4Bz,email,EN,Yes,partially,"Other, please specify:",after review the editor and reviewers insisted that we remove the control group and reanalyse our data on the pre-post changes of the intervention group only.,"Other, please specify:",The error occurred as the editor and reviewers of our paper insisted that we change our meta analysis approach. Given the ranking of the journal and even though we disagreed with editor and reviewers we changed our analysis. However once we resubmitted I contacted the editor noting our concern about the incorrect analysis and requested that we submit our original correct analysis as we previously had fir the first review. Thus as the authors we chose to retract the manuscript,"extreme stress
6",Yes,"Yes, when receiving reviewer comments we ensure that we make strong rebuttals on comments that we believe are not appropriate.","Biggest lesson learnt is not to do everything that a journal editor and reviewers ask, especially in high ranking journals. I guess we were lucky as we chose to retreat the paper purely based on the fact that what the journal was requesting us to do was simply wrong. Upon reflection we were proud that we stood up for what was right and subsequently we where able to resubmit our original paper with the original appropriate analysis and the paper was published.",not modified,not modified
2023-05-16 22:06:36,2023-05-16 22:12:56,IP Address,100,379,True,2023-05-16 22:12:57,R_1Quf6sG5SUnjG8T,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,4,No,NA,the error was caused by data with large numbers of zeroes (for example 180000000 gr for the weight [deleted identifiable information]). It is easy to enter one zero less or more than the correct number. I now express data like this as 180 000 000 in a separate data columnn,modified,not modified
2023-05-17 01:16:58,2023-05-17 01:19:56,IP Address,100,177,True,2023-05-17 01:19:57,R_cvV6cYmtXr1o6xX,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-17 02:14:01,2023-05-17 02:39:09,IP Address,100,1508,True,2023-05-17 02:39:10,R_2V3yf0MLqRJaqJ5,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Bad skill management (e.g. improper training, inadequate training, insufficient training, insufficient training of coders, lack of training)",NA,"extreme stress
6",Yes,"Careful and objective.
Molecular structure should be determined comprehensively from multiple data sources.
NMR, mass spectrometry, X-ray crystallography, IR (compare with literature values and vibrational calculations of similar structures), derivatization (note skeletal changes in derivatization reactions)
Share compound data with group members.
May make multiple mistakes (fundamental problems in the operation).
Do not get caught up in the meritocracy. Do not rush.
When mistakes are made, correct them gracefully. Respond with sincerity. Do not be overly discouraged.",NA,not modified,not modified
2023-05-17 03:21:31,2023-05-17 03:30:16,IP Address,100,525,True,2023-05-17 03:30:17,R_3GdNcGEyjw0Q1D0,email,EN,Yes,partially,"Data or file organization error (e.g. inconsistent file structure, mistake in data structure, storing data in wrong format, misaligned rows in data, coding manual hard to decipher)",NA,"Carelessness (e.g. negligence, not following protocol, not taking the task seriously, lack of effort, lack of motivation)",NA,5,No,NA,NA,not modified,not modified
2023-05-17 04:24:12,2023-05-17 04:27:20,IP Address,100,188,True,2023-05-17 04:27:21,R_2wpBkzBOFXidKTC,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-17 05:19:58,2023-05-17 05:51:24,IP Address,100,1886,True,2023-05-17 05:51:26,R_2dEHXZuU4RCZe56,email,EN,Yes,it was the main reason,"Loss of materials/documentation/data (e.g. data loss, failure to backup, failure to save data, data archiving mistake, mistake in saving results)",NA,"Bad or lack of planning (e.g. error in planning, insufficient planning, lack of sufficient planning, lack of systematicity, short-sightedness)",NA,"extreme stress
6",Yes,Retraction was unfortunate as there was no scientific error. Each conclusion was supported by 5,The withdrawal process was very stressful as we were confident about scientific authenticity of data but could not provide raw scans though we had autorads. Keeping raw scans for more than 5 years is difficult in LMIC settings. We have started sending pdf of raw scans to journals while submission but most don't take it. We would be relieved if journals checked raw data before publishing as Scientists do not have expertise in. Checking data,not modified,not modified
2023-05-16 16:06:56,2023-05-17 07:11:28,IP Address,100,54272,True,2023-05-17 07:11:29,R_XzGKJ5yoHXjomXf,email,EN,Yes,partially,"Data input error (e.g. data entry error, error in recording data, failure to record responses, mistake in data recording, value input error)",NA,Risking human error (e.g. experimenter error; lack of automatization; manual task handling instead of code; manually doing a task; multitasking),NA,"extreme stress
6",Yes,"I never thought I’d be faced with retraction of an article. Surprisingly it is one of the most challenging things I encountered as a young scientist. While I feared the recourse of obtaining the reputation of being an “untidy scientist,” I believed it necessary given the self-correcting nature of the occupation. Since the retraction, others have confirmed my findings and have provided validation to my corrected report.",NA,not modified,not modified
2023-05-17 07:48:34,2023-05-17 08:38:18,IP Address,100,2983,True,2023-05-17 08:38:19,R_2z7ujRi4un2YN96,email,EN,Yes,it was the main reason,"Incorrect connection between data points (e.g. error in tracking status of participants, failure to connect participant to data, ID duplication, mistake in connecting participants to responses, unable to track recorded data)",NA,Risking human error (e.g. experimenter error; lack of automatization; manual task handling instead of code; manually doing a task; multitasking),NA,5,Yes,"It was extremely sad, when we found out about the mistake and had to retract. However, I was very positively surprised how the journal was understanding our situation and gave us a change to resubmit, when we had corrected for the mistake.","Always check your work multiple times to be sure no mistakes have been made. Especially ask a friend or colleague to go through your work.
mail: [deleted identifiable information]",modified,not modified
2023-05-17 08:33:41,2023-05-17 08:43:11,IP Address,100,570,True,2023-05-17 08:43:12,R_3irQcHQmgP9raRf,email,EN,Yes,it was the main reason,"Data transfer error (e.g. data insertion mistake, transcription error, incomplete data transfer, mistake in transferring data between formats, importing data from survey platform)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,4,Yes,It would have been very useful if the journals would explain the causes for the error and how to avoid them in the retraction note.,It turns out that copying large datasets in a FASTA format into Excel transposes a few of the lines in the database. it is very difficult to spot since it is a very rare situation.,not modified,not modified
2023-05-17 17:09:25,2023-05-17 17:20:50,IP Address,100,685,True,2023-05-17 17:20:52,R_1Ld3vRIILgP7f6u,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,"extreme stress
6",Yes,NA,"Instead of retracting, they should have pointed out the mistakes and made us to correct them. Some times, non English speaking persons might  take the expression from other papers but not the data or result. This should be viewed sympathetically.",not modified,not modified
2023-05-20 03:42:26,2023-05-20 03:42:43,IP Address,100,16,True,2023-05-20 03:42:44,R_rjucV2ToX9pi7fz,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-22 04:40:55,2023-05-22 04:47:03,IP Address,100,367,True,2023-05-22 04:47:04,R_1CfnmrhrOaDdNYf,email,EN,Yes,partially,"Data input error (e.g. data entry error, error in recording data, failure to record responses, mistake in data recording, value input error)",NA,"Carelessness (e.g. negligence, not following protocol, not taking the task seriously, lack of effort, lack of motivation)",NA,"extreme stress
6",Yes,The journal could have asked to change one figure that was the main issue,Students can not be relied upon blindly,not modified,not modified
2023-05-16 16:31:31,2023-05-16 16:32:16,IP Address,25,44,False,2023-05-23 16:32:20,R_2ziQx0nwOqTdcLU,email,EN,Yes,partially,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 16:32:00,2023-05-16 16:32:39,IP Address,25,39,False,2023-05-23 16:32:46,R_ZeFGXQLlIgYxVCN,email,EN,Yes,partially,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-16 19:00:26,2023-05-16 19:02:37,IP Address,25,130,False,2023-05-23 19:02:47,R_332SMVM5cniMRjP,email,EN,Yes,partially,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-17 09:55:01,2023-05-17 09:55:59,IP Address,25,58,False,2023-05-24 09:56:04,R_3DvCOvu7QlJSFHl,email,EN,Yes,it was the main reason,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-24 20:51:46,2023-05-24 20:54:19,IP Address,100,152,True,2023-05-24 20:54:20,R_vPGZ0AGeZJgqhH3,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-22 19:58:27,2023-05-23 07:11:11,IP Address,25,40364,False,2023-05-30 07:11:18,R_2vfisqcW3p4PRyd,email,EN,Yes,it was the main reason,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-02 08:26:54,2023-06-02 08:35:36,IP Address,100,521,True,2023-06-02 08:35:37,R_2CHB420Ko7fYH24,email,EN,Yes,it was the main reason,"Other, please specify:","Bullying from Institute, false trust to quality of comercial library","Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,"extreme stress
6",No,"Attacking of published work became a tool for some people to ""fight"" colleagues from institute in order to eliminate competition","Director of our institute [deleted identifiable information] is non-trustable person, which is not surprise to his history as communist secret agend. It is sad but still problem in post communistic countries.",modified,not modified
2023-06-09 11:24:03,2023-06-09 11:24:52,IP Address,100,49,True,2023-06-09 11:24:53,R_eh795B4u294MBfH,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:11:08,2023-06-14 11:11:36,IP Address,100,27,True,2023-06-14 11:11:38,R_3EQhdKxwZL2JRok,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:14:07,2023-06-14 11:14:51,IP Address,100,43,True,2023-06-14 11:14:52,R_VO04HOPH8F4QG3v,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:13:09,2023-06-14 11:15:21,IP Address,100,131,True,2023-06-14 11:15:22,R_1myBewJXh0ab65f,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:15:03,2023-06-14 11:15:26,IP Address,100,23,True,2023-06-14 11:15:27,R_Qcaci7ZwxQgIFix,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:16:11,2023-06-14 11:16:34,IP Address,100,22,True,2023-06-14 11:16:35,R_2z79nHdBVvjnzFM,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:17:48,2023-06-14 11:18:10,IP Address,100,21,True,2023-06-14 11:18:12,R_1gN1KWdz7FKc9Bu,email,EN,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:18:42,2023-06-14 11:20:28,IP Address,100,105,True,2023-06-14 11:20:29,R_dgLDV62DPD9Oesx,email,EN,Yes,it was the main reason,"Data coding error (e.g. incorrect coding of variables, misclassification of values, mistake in coding variables, mistake in recording variables, value coding error)",NA,"Bad or lack of standards (e.g. bad routines, error in coding protocol, error in data organization, inconsistent file naming, insufficient procedures)",NA,"extreme stress
6",Yes,NA,NA,not modified,not modified
2023-06-14 11:19:20,2023-06-14 11:20:58,IP Address,100,97,True,2023-06-14 11:20:59,R_2uppucDluFv8ShW,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:20:27,2023-06-14 11:22:24,IP Address,100,117,True,2023-06-14 11:22:26,R_2D2EkGHHUc4D21n,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:21:22,2023-06-14 11:23:37,IP Address,100,134,True,2023-06-14 11:23:38,R_2466ib5BByROraj,email,EN,Yes,it was the main reason,"Version control error (e.g. failure to locate original data, overwriting data, overwriting files, using the wrong version of code, using the wrong version of data)",NA,"Miscommunication (e.g. lack of communication, lack of consultation, misinformation, misinformed by third party, poor collaboration)",NA,4,No,NA,NA,not modified,not modified
2023-06-14 11:23:08,2023-06-14 11:23:52,IP Address,100,44,True,2023-06-14 11:23:53,R_QaAWUR6hEcX9Y4N,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:12:07,2023-06-14 11:27:27,IP Address,100,920,True,2023-06-14 11:27:29,R_3PHWZMgHssVJ0ea,email,EN,Yes,it was the main reason,"Data coding error (e.g. incorrect coding of variables, misclassification of values, mistake in coding variables, mistake in recording variables, value coding error)",NA,"Other, please specify:",Typo. One character lacking in a complex SQL code provided a misleading return value.,"no stress at all
0",No,The Devil is in the details. Nobody is perfect. Error will always occur. What you do after an error is identified is crucial. Those never having done an error may never have done anything.,"Good initiative. I have alone been responsible for the output of the [deleted identifiable information] database [deleted identifiable information], including > 50,000 characters of Oracle SQL code. Debugging and quality validation takes > 90% of  working hours. Despite advanced multi step systems to catch errors, sooner or later an error will pass through. I made a complete Oracle filing system for my medical records in cancer genetics > 20 years ago which still lives on, but read in the papers on all governmental efforts failing because they are basically not well enough designed. 
My mail is [deleted identifiable information].
Good luck!
[deleted identifiable information]",modified,not modified
2023-06-14 11:27:10,2023-06-14 11:29:09,IP Address,100,119,True,2023-06-14 11:29:11,R_2Bzo5sTAbKG8T6g,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-06-14 11:23:15,2023-06-14 11:29:22,IP Address,100,366,True,2023-06-14 11:29:24,R_10pU8SFY4IsN228,email,EN,Yes,it was the main reason,"Data coding error (e.g. incorrect coding of variables, misclassification of values, mistake in coding variables, mistake in recording variables, value coding error)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,"extreme stress
6",Yes,"Retraction give me a lot of chance of exploration and improve my skills about research. But, in field of research, other fellows considered you as a criminals. So, Journals should make a excellent peer review platform. So that all the technical mistakes can be removed at that time. Not after the publishing.",NA,not modified,not modified
2023-06-14 11:29:04,2023-06-14 11:30:58,IP Address,100,114,True,2023-06-14 11:31:00,R_WCMWttRGLH5IN5T,email,EN,Yes,it was the main reason,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Bad or lack of planning (e.g. error in planning, insufficient planning, lack of sufficient planning, lack of systematicity, short-sightedness)",NA,"extreme stress
6",Yes,NA,NA,not modified,not modified
2023-06-14 11:29:09,2023-06-14 11:33:17,IP Address,100,247,True,2023-06-14 11:33:18,R_bdfqsLqzq0xSUhz,email,EN,Yes,it was the main reason,"Incorrect data processing/analysis (e.g. calculating wrong statistic, mistake in data analysis, incorrect application of formulas, formula error, statistical error)",NA,"Technical issue (e.g. computer issue, equipment failure, software error, technical malfunction, wrong equipment settings)",NA,4,Yes,It turned out that the results were fitting much better to other published results after we corrected the error. Everybody at the journal was very helpful when I contacted them about the problem.,"If your research data is not fitting to other publish data, check the whole calculation process again.",not modified,not modified
